0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.009335 -0.002726 -0.012095 -0.002285 -0.056411 0.025525   -0.019678 0.003344 0.001266 0.003157 -0.006666 -0.000131    -0.004741 -0.013203 -0.001016 -0.007115 0.007141 0.005662    0.054333 0.009436 -0.007128 -0.003115 0.021426 -0.003648    0.103827 -0.091253 -0.005627 0.001216 -0.002098 0.072686     -0.003380 -0.082555 0.073940 -0.050023 -0.033982 0.003597    -0.028919 0.000784 0.000699 0.001019 0.016292 0.112171      0.001295 -0.002167 0.003982 0.001988 0.009889 -0.003585      -0.011978 -0.031336 -0.000739 0.000498 0.003461 -0.062788    0.154227 -0.168718 -0.116249 -0.066059 -0.001682 -0.000744   -0.006011 -0.072547 -0.010485 0.001723 -0.000599 -0.001844   -0.001201 0.000025 -0.000024 0.004539 0.000793 -0.046490     -0.010307 0.027234 0.079409 -0.051270 -0.000535 -0.011904   0.005528 -0.000420 0.093779 -0.003060 -0.047186 -0.133107    0.008778 0.007321 -0.018545 -0.172617 -0.007493 -0.000504    0.036811 -0.004373 -0.006374 0.001223 -0.000630 0.000993     0.048362 -0.008706 -0.000039 0.000371 0.039847 -0.003154     -0.067274 -0.005088 0.098746 0.001890 0.005586 0.152131      0.101432 -0.064621 -0.001424 -0.000416 -0.000147 0.000910   -0.000015 0.000014 0.000017 -0.000028 -0.000038 -0.000004    -0.000004 -0.000096 -0.000034 -0.000253 0.000046 0.000067   -0.000091 -0.000065 -0.000237 -0.000036 -0.000018 0.000079
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  0.011309 0.000648 0.001459 0.009048 -0.003487 -0.019512      0.000166 0.067400 0.001297 -0.003022 0.004688 0.000931      0.000330 0.001445 0.001369 -0.023214 -0.038239 -0.006044     -0.016573 -0.001174 0.022500 0.028350 0.037045 -0.002188    -0.000995 0.000943 -0.007780 -0.012718 -0.012883 -0.010885   -0.041203 -0.004208 0.010447 0.105103 -0.096468 0.009415     -0.073450 0.171054 -0.007317 -0.051273 0.037263 0.002141    -0.006941 -0.003384 0.082409 -0.046428 -0.016795 -0.052440   -0.081341 -0.107678 -0.000420 0.004424 -0.066514 0.006050    0.144609 0.142217 0.021139 0.014762 0.016182 0.002437        0.005058 0.010015 -0.029658 -0.000335 0.000238 -0.029861     0.031413 -0.003828 0.000535 0.000554 -0.002443 -0.000332     0.058969 0.004604 -0.040115 -0.072893 -0.019774 -0.000117   -0.002197 -0.024372 -0.000252 0.002582 0.148549 -0.058720    0.047776 0.005410 -0.174762 0.008979 -0.110165 0.004843      0.002138 0.162293 0.000681 0.043930 0.002569 0.003969        -0.004948 -0.022487 0.001536 -0.001274 0.000565 -0.001938    0.000356 -0.061522 0.005796 0.029230 0.065746 0.065259       -0.160728 0.004030 -0.025677 0.000047 -0.000095 -0.000025   -0.000225 0.000000 0.000002 0.000002 -0.000003 0.000009      -0.000011 -0.000006 0.000026 0.000008 -0.000549 0.000465    0.000005 0.000232 -0.000101 0.000051 0.000250 -0.000162
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.034690 -0.082799 0.066712 0.008280 -0.012086 0.005759     -0.047839 0.002317 -0.004217 -0.037947 0.106192 0.001116    0.003682 -0.002991 0.000934 -0.030538 -0.031049 0.000678     -0.008820 -0.012142 -0.097113 -0.089289 0.036745 -0.002179  0.011572 -0.029983 0.071311 -0.021318 -0.002876 0.065837     -0.000078 0.027612 0.023702 0.219343 0.132687 -0.017301      -0.118384 -0.297869 0.014258 0.075083 0.210398 -0.013593    0.006463 0.002766 -0.047806 -0.042896 0.235965 0.028153      0.008225 -0.113865 0.003289 -0.011425 0.007903 0.033365      0.044983 0.035468 0.007329 -0.004793 0.006382 0.007516       0.009674 -0.000774 0.017195 0.000059 0.000054 0.006556       -0.018795 0.002293 -0.000288 0.000001 0.000858 0.002712      -0.010021 -0.001821 0.005838 0.009717 0.002720 0.016802     0.010985 -0.004289 -0.002642 -0.000127 -0.011334 0.005787    0.015596 -0.000541 -0.012331 0.006346 -0.003116 0.000012     -0.000785 0.009052 0.000202 0.001544 0.000054 0.000171       -0.000793 -0.000599 -0.000152 -0.000232 -0.000378 -0.000035  0.000656 -0.001091 -0.000527 0.000082 0.012184 0.000900      -0.011417 0.000400 0.000050 -0.000004 -0.000007 0.000009    -0.000016 -0.000018 -0.000020 0.000020 0.000024 0.000000     0.000000 -0.000001 0.000003 0.000226 -0.000037 0.000050     0.000059 0.000012 -0.000015 0.000006 0.000027 -0.000097
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.007023 -0.001639 -0.012018 -0.000998 -0.052383 0.020986   -0.017557 0.007646 0.000989 0.001942 -0.003472 -0.000022    0.004181 0.017783 0.003479 0.004820 0.001731 -0.000702       0.001051 0.042969 0.007378 0.018846 0.059300 -0.007099      0.118411 -0.030466 0.002882 0.022021 0.049927 0.029453       0.026943 -0.086600 0.011787 -0.096978 0.081411 0.022911      -0.026870 -0.051134 0.008139 0.031456 -0.048650 0.095273    0.006207 -0.003782 0.034821 -0.032904 0.009669 0.011502      0.008888 0.005213 -0.000849 -0.000270 0.015892 -0.026060     0.034382 -0.119343 -0.085468 -0.048473 0.017671 -0.002713    -0.002464 -0.021434 -0.002581 -0.003622 -0.001633 0.009763   -0.022456 0.002910 -0.000395 -0.000188 0.001089 -0.050280    -0.018372 -0.022740 -0.046898 0.118550 -0.033552 -0.042394  0.014136 0.039787 -0.036363 -0.141634 0.130449 -0.002337     0.073530 0.027024 0.002720 0.091036 -0.062926 -0.002547      -0.019665 0.016565 0.002948 0.036567 0.002190 0.002464       -0.021513 0.003342 0.001236 -0.001236 -0.021555 -0.043443    0.048019 -0.030978 -0.113848 -0.115755 -0.022302 -0.129069   -0.130609 -0.021680 -0.125477 0.000299 0.000083 -0.000777   -0.000246 -0.000009 -0.000011 0.000033 0.000024 -0.000006    0.000016 0.000065 0.000019 -0.000014 0.000137 -0.001630     -0.000199 -0.000086 0.000598 -0.000546 -0.001303 -0.000037
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  0.007331 0.002234 0.002092 0.007207 0.005118 -0.021853       0.002599 0.059776 0.001331 -0.004971 0.009958 0.000042      0.014811 0.053861 0.007084 0.019282 -0.014997 -0.013468      -0.032614 0.025505 0.037996 0.052103 0.103102 -0.011578     0.048208 0.111226 -0.001219 -0.004909 0.004074 -0.013018     -0.039481 -0.049051 -0.099611 0.102379 0.018192 0.029815     0.058899 0.064741 0.000571 -0.022655 0.022779 0.011581      0.000908 -0.003122 0.088301 -0.072625 0.022619 -0.008517     -0.026386 -0.043037 -0.000660 0.000702 -0.060249 0.027314    -0.060921 0.075928 0.015810 0.016425 0.012578 0.003331       0.004831 0.035259 -0.011178 -0.005078 -0.001068 -0.030772    0.112226 -0.013933 0.001937 0.006279 -0.003631 -0.115592     0.031678 0.033399 -0.008330 0.006868 -0.022246 -0.002872    0.071260 0.010142 0.092185 -0.066061 -0.093325 -0.166524     0.060794 0.017292 0.084393 0.017182 0.085066 -0.007788       -0.002640 -0.025955 0.032359 -0.023056 -0.001371 -0.002596   0.023447 0.001335 0.000930 0.002008 -0.034380 -0.002386      -0.017079 0.037323 -0.085917 -0.111252 0.064369 -0.049431    0.175105 0.010024 0.075463 -0.000363 0.000043 0.000448      0.000140 0.000016 0.000007 -0.000010 -0.000014 0.000009      0.000009 -0.000034 -0.000027 0.000142 0.000017 -0.000694    0.000065 0.000003 0.000443 -0.000523 -0.000554 0.000038
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000361 -0.094370 0.083891 -0.010152 0.023098 0.078435     -0.022415 0.025464 0.004712 -0.022873 0.053288 0.002130     0.010355 0.007701 -0.060041 -0.095187 0.045045 0.131587      -0.045656 -0.016060 -0.186622 -0.111791 0.047313 -0.207432  -0.004441 0.012394 0.116997 0.085309 -0.053468 -0.037112     -0.007082 -0.002086 -0.004793 -0.023352 -0.014064 0.010114   0.008345 -0.023655 -0.079962 -0.023356 0.043491 -0.001316   -0.190712 -0.008273 0.063016 0.053516 -0.174792 -0.092747    0.014208 0.064473 -0.003901 0.019134 -0.008971 -0.016706     -0.009368 -0.012203 -0.003374 0.000270 -0.003821 -0.014671   0.000629 -0.000886 -0.006564 -0.000361 -0.000034 -0.004326   0.012655 -0.001449 0.000181 0.000882 0.000261 -0.009893      0.003875 0.001677 -0.004036 0.000819 -0.004854 -0.004030    0.004095 0.002677 0.005870 -0.009052 0.000804 -0.011802      0.004920 0.001799 0.004199 0.001148 0.001096 -0.000513       -0.000329 0.002861 0.001968 0.000699 0.000004 -0.000023      0.000885 -0.000120 0.000177 -0.000440 -0.002414 -0.001715    0.000237 0.000165 -0.007797 -0.008990 0.002993 -0.004879     0.003910 -0.000478 -0.001091 -0.000009 0.000004 -0.000003   0.000008 -0.000010 -0.000007 0.000002 -0.000008 0.000001     -0.000000 0.000000 -0.000005 -0.000002 0.000021 -0.000168   0.000010 -0.000005 0.000063 -0.000065 -0.000111 0.000006
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.009436 -0.001628 -0.011481 -0.003760 -0.050517 0.026438   -0.017511 -0.001167 0.001644 0.002488 -0.005245 -0.000762   0.003560 0.015056 -0.000157 -0.004727 0.002785 0.001488      0.021160 -0.036154 -0.002122 -0.013486 -0.036691 0.002514   0.122071 -0.037674 -0.012300 -0.022039 -0.048613 0.017921    -0.030717 -0.089103 0.026946 0.050560 -0.114364 0.044502     -0.029802 0.041054 -0.006633 -0.024800 0.053804 0.080508    -0.002110 -0.002882 -0.046623 0.025383 0.000486 -0.007880    -0.011291 -0.030958 0.000445 0.001597 -0.012378 -0.021786    0.109250 -0.053318 -0.075375 -0.042322 -0.022084 0.004878    -0.001359 -0.018703 -0.020077 -0.002330 0.003294 -0.021582   0.055246 -0.006792 0.000802 0.000660 -0.002534 -0.045469     0.057525 -0.017095 -0.117390 -0.035309 0.031258 0.001563    0.035516 -0.038180 -0.027863 0.140353 -0.079430 0.092357     -0.093357 0.033682 0.027179 0.082965 0.072543 0.003024       -0.019620 -0.015657 0.000109 -0.038707 -0.001168 -0.003819   -0.021173 0.004365 -0.001289 0.000995 -0.019710 0.048542     0.043975 0.035416 -0.115336 0.110662 -0.007626 -0.168160     -0.055075 -0.024400 0.127841 0.000291 0.000129 -0.000783    0.000272 -0.000009 -0.000011 0.000014 0.000042 0.000013      -0.000009 0.000064 0.000026 -0.000015 -0.001645 0.000179    0.000168 0.001296 -0.000096 -0.000033 0.000224 -0.000010
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  0.005310 -0.000069 0.000828 0.004887 -0.009629 -0.008254     -0.004516 0.061693 0.002166 -0.003144 0.007221 0.000502     -0.016088 -0.048362 -0.008464 0.016341 -0.008273 0.000583    0.000161 0.032376 0.019703 0.049542 0.112658 -0.027380      -0.061081 -0.110123 -0.006720 0.003227 0.003767 0.015310     -0.039954 0.052851 0.101699 -0.044674 -0.082190 -0.024547    -0.084394 0.018652 -0.003825 -0.008303 0.009398 -0.010667   -0.013252 -0.003132 0.086805 -0.073692 0.017194 -0.014350    -0.026934 -0.053072 -0.001215 0.003086 -0.056490 -0.008478   0.038869 -0.059990 -0.006298 -0.009015 0.011678 -0.000590    -0.000797 -0.027250 -0.021226 0.002906 -0.003707 -0.031885   0.116941 -0.014260 0.001964 -0.003267 -0.005303 0.116450     0.030246 -0.016561 0.039293 -0.024895 -0.030226 0.055188    -0.044494 0.018943 -0.098970 -0.065438 0.022590 0.187941     0.084268 -0.028712 0.070284 -0.024122 0.077795 -0.007878     0.001346 -0.024381 -0.033080 -0.019868 -0.001635 -0.001637   -0.020930 0.008838 -0.001981 -0.001064 0.036061 -0.004617    0.014629 0.035061 0.091960 -0.110852 0.022353 -0.125744      0.136265 -0.010453 0.069282 0.000242 0.000257 -0.000416     0.000147 -0.000003 -0.000018 0.000010 0.000013 -0.000013     -0.000006 0.000041 -0.000002 0.000159 0.000733 -0.000049    0.000049 -0.000812 -0.000022 -0.000229 0.000032 0.000036
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.064580 -0.087916 0.053892 0.030853 -0.038042 -0.077960    -0.029329 -0.011591 -0.009132 -0.019015 0.054685 -0.000484  0.007166 -0.013932 0.062798 -0.079324 0.048296 -0.136188     0.001851 -0.002957 -0.192659 -0.111388 0.127448 0.183636    -0.007269 0.007328 0.051027 -0.130812 0.050012 -0.008368     0.002449 0.007471 -0.006895 -0.035334 -0.016498 0.006152     0.002917 -0.016131 0.081536 -0.030378 0.045815 -0.010684    0.164262 -0.019904 0.128489 0.043887 -0.180328 -0.000581     -0.079796 0.100704 -0.002383 0.019639 -0.009369 -0.011265    -0.006056 -0.019836 -0.003843 -0.000849 0.000358 -0.000387   -0.020399 -0.001943 -0.003587 0.000001 -0.000107 -0.002177   0.006482 -0.000778 -0.000013 0.000665 -0.000816 -0.000027    0.004630 -0.000284 -0.003345 -0.003072 0.001264 -0.002762   -0.001513 -0.000487 -0.001020 0.002921 0.001066 0.004043     -0.003165 0.000233 0.003152 -0.000761 0.004373 0.000008      -0.000223 -0.006681 -0.000690 -0.002228 -0.000074 -0.000172  -0.000720 0.000452 -0.000589 0.000105 0.000339 0.001331      0.001221 0.002131 -0.000757 -0.000112 -0.003389 -0.007546    0.005836 -0.001093 0.005855 0.000015 0.000010 -0.000036     0.000002 -0.000006 -0.000013 -0.000008 0.000002 -0.000001    0.000000 0.000001 0.000003 -0.000065 -0.000052 0.000010     -0.000019 0.000027 -0.000003 -0.000005 0.000008 0.000015
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.005763 0.000558 -0.007057 -0.001360 -0.035051 0.015118    -0.013987 0.012626 0.001218 0.000407 -0.000993 -0.000302    0.008374 0.031747 0.001787 0.002712 0.002107 -0.004821       -0.006690 -0.044628 0.004429 -0.001241 -0.015824 0.001519   0.046479 -0.006573 -0.016062 -0.013432 -0.030987 -0.052943   -0.018583 0.088505 0.019250 0.030446 -0.014277 0.236939      -0.053663 0.093875 -0.001434 -0.047205 0.076948 -0.067800   -0.005265 0.000333 0.024318 -0.038159 0.019474 0.021563      0.037796 0.048796 0.001957 -0.001758 0.040718 -0.003841      0.015292 -0.017390 0.039737 0.012243 -0.053481 0.004841      -0.003205 -0.007348 0.004215 -0.003637 0.001471 0.009564     -0.058454 0.006884 -0.001057 -0.001021 0.000610 -0.017252    0.081984 -0.030722 -0.095130 0.007434 0.107356 0.020252     -0.024897 -0.070608 -0.129574 -0.044632 -0.010947 -0.001978  0.009002 -0.009832 -0.022105 0.010795 0.036197 -0.019845     0.011580 0.026818 -0.042609 0.004487 -0.000212 0.000851      0.057892 0.050606 -0.001782 0.001522 0.010579 -0.056185      -0.077941 0.107454 -0.041979 -0.066895 -0.010904 0.111010    0.070905 0.133242 -0.175106 -0.000054 -0.000204 0.000196    -0.000302 -0.000002 -0.000003 0.000008 -0.000005 -0.000115   -0.000004 -0.000146 -0.000013 -0.000001 0.000153 -0.000085  -0.000030 -0.000638 -0.001762 -0.002854 0.000594 0.000007
