0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 3.3525414608E-02 6.3864422883E-02 2.1221752454E-01 -3.3084883836E-03      2.0234935784E-03 -1.1978703521E-01 -2.2761757409E-02 -2.2760562929E-02 4.7646511412E-03     -4.6137619561E-02 -5.8743799122E-04 4.3531673439E-02 -3.7006000907E-02 -2.0413232521E-02   -2.4307989289E-02 3.6970329966E-02 -2.3119716733E-01 -2.0576760710E-01 -2.0092298978E-02    3.6753071624E-02 3.2601187481E-02 1.2952684881E-02 3.5805721209E-02 -3.5629755706E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 5.0365329854E-02 1.2061394293E-01 -1.3267098448E-02 -5.0682841514E-03     2.7758532022E-03 -3.5702880473E-02 -3.4504262142E-02 -3.3607586120E-02 7.2010900533E-03     -6.4778883137E-02 -8.8805029731E-04 4.8280684612E-02 8.3557868449E-02 7.5883992168E-02     -2.3161882350E-03 -3.7296477207E-02 1.0236162935E-01 9.7723063475E-02 9.0167886207E-03      -2.4322674849E-02 -2.9908127197E-02 -1.9966243458E-02 5.4559223326E-02 -5.4201325198E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 1.6767945359E-01 -4.8790929019E-02 -3.8828962668E-02 -1.5949690335E-02    8.7609117952E-03 3.6329349481E-02 -1.1364626782E-01 -1.0879560112E-01 2.3490581734E-02      2.8763572903E-02 -4.0574956258E-03 -2.3517589546E-02 -1.8066557075E-02 -1.9058885336E-02   5.6373048736E-03 3.9422281580E-03 1.5480998317E-02 1.1727367560E-02 1.2975435189E-03        2.6211220232E-05 2.5769522911E-03 3.4880934123E-03 -2.3923344306E-02 2.3775833607E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -3.8258978735E-02 -6.7920035022E-02 1.1334917317E-01 1.0172961633E-02     -3.2639705705E-02 -9.2449404323E-02 7.5520614190E-03 6.1365206569E-03 -1.6506727414E-02     6.4442633469E-03 1.1637883789E-02 -7.9121816639E-02 1.9315993776E-02 -1.4986112391E-02     9.8068999740E-02 7.8432670168E-02 2.0666653117E-01 3.0358108887E-01 -1.8336181569E-03       -2.3566783167E-03 -5.9431519529E-03 -8.8043660379E-03 -7.7884990515E-04 1.7153121540E-03 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -5.7382102534E-02 -1.5285200486E-01 -1.3138442485E-01 1.5605447838E-02    -4.9564542032E-02 -9.8193209088E-02 1.1354102639E-02 9.5098503993E-03 -2.5009016931E-02     3.7606295024E-02 1.7543780539E-02 -1.6695556712E-01 -7.8272441736E-02 -7.1023455283E-02    -2.7993132913E-02 8.7119493602E-03 -7.5557152553E-02 -8.4019128376E-02 4.8569491620E-02     -1.9466471699E-02 3.0253748241E-02 5.4041573990E-02 7.6485523144E-03 -9.2820884587E-03 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -1.9129114719E-01 5.9421110687E-02 1.7369498387E-02 5.0335266666E-02      -1.6206194423E-01 4.8154970239E-02 3.7694012835E-02 3.3948999830E-02 -8.1423738459E-02      -1.2397507638E-02 5.8069832840E-02 6.7150632694E-02 2.0064116199E-02 2.4720799523E-02      -1.1242089326E-02 -1.8486617879E-02 -1.8724896602E-02 -3.5717038422E-02 -1.4470826458E-02   6.4243119970E-03 -8.0528101469E-03 -1.4723982045E-02 -2.1777352083E-03 2.4902697706E-03 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -3.8260673534E-02 -6.7921885320E-02 -1.1333685441E-01 1.0232414005E-02    3.2643199953E-02 9.2449311901E-02 7.5572089633E-03 -6.1364219125E-03 1.6510242746E-02       6.4432164977E-03 1.1641218081E-02 7.9121665851E-02 -1.9315621895E-02 -1.4986113343E-02     9.8068643198E-02 -7.8431836009E-02 2.0666640613E-01 -3.0357866419E-01 1.8336936046E-03      -2.3567358630E-03 5.9484857164E-03 -8.8001085620E-03 7.7757673319E-04 1.7159095312E-03 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -5.7380936398E-02 -1.5285472272E-01 1.3140320711E-01 1.5536870843E-02     4.9561562617E-02 9.8193019516E-02 1.1356899205E-02 -9.5063424485E-03 2.5010960144E-02       3.7604584440E-02 1.7544394695E-02 1.6695497202E-01 7.8272244575E-02 -7.1025308295E-02      -2.7994387587E-02 -8.7117525923E-03 -7.5559678518E-02 8.4020788565E-02 -4.8572910691E-02    -1.9465872757E-02 -3.0287591390E-02 5.4020439602E-02 -7.6416089677E-03 -9.2878618041E-03 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -1.9129094201E-01 5.9412187921E-02 -1.7308650512E-02 5.0344286405E-02     1.6206185477E-01 -4.8155092919E-02 3.7700844011E-02 -3.3941554741E-02 8.1422401802E-02      -1.2404256908E-02 5.8069210899E-02 -6.7151720917E-02 -2.0060484507E-02 2.4720363098E-02    -1.1245913302E-02 1.8487425967E-02 -1.8732456705E-02 3.5723620160E-02 1.4470457932E-02      6.4236931403E-03 8.0610511861E-03 -1.4716563487E-02 2.1756002420E-03 2.4916894136E-03 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 3.3536313825E-02 6.3864614922E-02 -2.1222097654E-01 -3.1989298036E-03     -2.0247917836E-03 1.1978723912E-01 -2.2768516518E-02 2.2759255796E-02 -4.7716040732E-03     -4.6137113072E-02 -5.8543460386E-04 -4.3531372626E-02 3.7004992300E-02 -2.0413418444E-02   -2.4307571995E-02 -3.6970311550E-02 -2.3119629064E-01 2.0576478930E-01 2.0092236524E-02     3.6751478511E-02 -3.2609132688E-02 1.2932548677E-02 -3.5779445027E-02 -3.5657089879E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 5.0361930935E-02 1.2061404623E-01 1.3261681354E-02 -5.0770171223E-03      -2.7735272286E-03 3.5703235370E-02 -3.4508346264E-02 3.3597596024E-02 -7.2074246519E-03     -6.4778288742E-02 -8.8648895862E-04 -4.8279941588E-02 -8.3557633796E-02 7.5886121550E-02   -2.3161107305E-03 3.7296853594E-02 1.0236444527E-01 -9.7724958816E-02 -9.0170386429E-03     -2.4323125855E-02 2.9921883566E-02 -1.9947960041E-02 -5.4518049098E-02 -5.4241802465E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 1.6767823374E-01 -4.8790408180E-02 3.8811928381E-02 -1.5968981041E-02     -8.7609118922E-03 -3.6329025563E-02 -1.1366959289E-01 1.0877269559E-01 -2.3487068721E-02    2.8765235189E-02 -4.0583124493E-03 2.3519040583E-02 1.8062938153E-02 -1.9057146624E-02     5.6380952195E-03 -3.9409376370E-03 1.5489013279E-02 -1.1735081183E-02 -1.2982764517E-03     2.4999574618E-05 -2.5779241933E-03 3.4857410193E-03 2.3905730639E-02 2.3794017737E-02 
0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00   0.0000000000E+00 -7.5651620014E-02 -2.2608832383E-01 -2.3746669905E-01 -6.1082987732E-02   -1.8467090116E-02 -6.9003861728E-03 -4.9592539784E-03 -1.3448152270E-02 -1.1315076706E-01   3.5814690952E-01 -1.1318413605E-01 5.0592446090E-01 -5.5445630853E-01 6.2757173828E-01     -1.3246014976E-01 2.4374638951E-01 -1.4806321044E-01 3.7440492083E-01 -4.1286689036E-02     -1.4381946179E-02 -2.3807633141E-02 4.4627830995E-02 -8.3083139335E-03 -5.8805833424E-03 
